DATE,WHERE_BUY,WHERE_SELL,PAIR,PERCENT
2020-02-22 18:05:27,POLONIEX,BINANCE,LTC,0.03483673775563911
2020-02-22 18:06:37,POLONIEX,BINANCE,LTC,0.04663082742402125
2020-02-22 18:08:17,POLONIEX,BINANCE,LTC,0.019295510747108224
2020-02-22 18:08:29,POLONIEX,BINANCE,LTC,0.03198992571229464
2020-02-22 18:08:33,POLONIEX,BINANCE,LTC,0.01700796836010543
2020-02-22 18:08:36,POLONIEX,BINANCE,LTC,0.01700796836010543
2020-02-22 18:08:41,POLONIEX,BINANCE,LTC,0.01700796836010543
2020-02-22 18:08:45,POLONIEX,BINANCE,LTC,0.01700796836010543
2020-02-22 18:08:49,POLONIEX,BINANCE,LTC,0.01700796836010543
2020-02-22 18:08:59,BINANCE,POLONIEX,XRP,0.03532320734722649
2020-02-22 18:09:31,POLONIEX,BINANCE,ETH,0.025805500258058167
2020-02-22 18:09:34,POLONIEX,BINANCE,ETH,0.01105950011059953
2020-02-22 18:09:43,POLONIEX,BINANCE,LTC,0.015486596477698455
2020-02-22 18:09:46,POLONIEX,BINANCE,LTC,0.015486596477698455
2020-02-22 18:09:50,POLONIEX,BINANCE,LTC,0.015486596477698455
2020-02-22 18:09:54,POLONIEX,BINANCE,LTC,0.02970048206170084
2020-02-22 18:09:57,POLONIEX,BINANCE,LTC,0.02970048206170084
2020-02-22 18:10:01,POLONIEX,BINANCE,LTC,0.02970048206170084
2020-02-22 18:10:13,BINANCE,POLONIEX,ETH,0.019217291874151776
2020-02-22 18:10:25,BINANCE,POLONIEX,ETH,0.01183933906243606
2020-02-22 18:10:29,BINANCE,POLONIEX,ETH,0.01183933906243606
2020-02-22 18:10:37,BINANCE,POLONIEX,ETH,0.015528179403956344
2020-02-22 18:10:42,BINANCE,POLONIEX,ETH,0.037666937209479556
2020-02-22 18:11:51,BINANCE,POLONIEX,ETH,0.016017715445659775
2020-02-22 18:11:55,BINANCE,POLONIEX,ETH,0.019672252159153025
2020-02-22 18:11:59,BINANCE,POLONIEX,ETH,0.027055957478228088
2020-02-22 18:12:02,BINANCE,POLONIEX,ETH,0.037177877870497866
2020-02-22 18:12:07,BINANCE,POLONIEX,ETH,0.03648179602688817
2020-02-22 18:12:11,BINANCE,POLONIEX,ETH,0.05864972669522572
2020-02-22 18:12:15,BINANCE,POLONIEX,ETH,0.022163939270813948
2020-02-22 18:12:42,BINANCE,POLONIEX,ETH,0.024112846645230057
2020-02-22 18:12:53,BINANCE,POLONIEX,ETH,0.024112846645230057
2020-02-22 18:12:55,BINANCE,POLONIEX,EOS,0.02822201317027595
2020-02-22 18:12:57,BINANCE,POLONIEX,ETH,0.024112846645230057
2020-02-22 18:12:59,BINANCE,POLONIEX,EOS,0.02822201317027595
2020-02-22 18:13:01,BINANCE,POLONIEX,ETH,0.035194622941125964
2020-02-22 18:13:01,BINANCE,POLONIEX,LTC,0.02434361458065748
2020-02-22 18:13:03,BINANCE,POLONIEX,EOS,0.02822201317027595
2020-02-22 18:13:05,BINANCE,POLONIEX,ETH,0.035194622941125964
2020-02-22 18:13:09,BINANCE,POLONIEX,ETH,0.027806499261440187
2020-02-22 18:13:09,BINANCE,POLONIEX,LTC,0.011596788581624828
2020-02-22 18:13:11,BINANCE,POLONIEX,EOS,0.051752528816750853
2020-02-22 18:13:13,BINANCE,POLONIEX,ETH,0.018469267139487044
2020-02-22 18:13:15,BINANCE,POLONIEX,EOS,0.051752528816750853
2020-02-22 18:13:16,BINANCE,POLONIEX,ETH,0.025858884373852753
2020-02-22 18:13:19,BINANCE,POLONIEX,EOS,0.02822201317027595
2020-02-22 18:13:20,BINANCE,POLONIEX,ETH,0.029554102478845934
2020-02-22 18:14:08,BINANCE,POLONIEX,ETH,0.021546307931119557
2020-02-22 18:14:11,BINANCE,POLONIEX,ETH,0.01784988358772832
2020-02-22 18:14:15,BINANCE,POLONIEX,ETH,0.021546307931119557
2020-02-22 18:14:18,BINANCE,POLONIEX,ETH,0.028939976345365714
2020-02-22 18:14:38,POLONIEX,BINANCE,ETH,0.011341416154975192
2020-02-22 18:14:42,POLONIEX,BINANCE,ETH,0.011341416154975192
2020-02-22 18:15:05,BINANCE,POLONIEX,ETH,0.01839539007093549
